name,product_title,product_url,rating,review_long,review_short
Ford,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,2.0 out of 5 stars,"The product seems fine, it went to a group home for Autistic Young Adults to try to keep them busy during Covid-19. It has helped my son at his group home, I just dislike that someone would double the price on anything online during this time. The sellers right to do it, it was good to know it helped them, just didn’t like having to support someone that does that.",I disliked buying this product from seller because it was double the price!
Helen,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,Stopped working the second day I bought it don’t buy!!!,Do not buy!!!
Amazon Customer,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,This product is way too expensive and shouldn't have the price raised 200 dollars because everyone wants it.,Price is top high
LRB,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,Came as advertised though I suspect it is very overpriced. I have heard there are major issues with these consoles being hoarded and resold this way. Shame.,Hated to support the seller. Platforms need to put a stop to this practice.
Celi,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"Came a little late. But it looks good. Haven’t turned it on yet. Came with 2 SD cards and a regular one and micro one for 32 g.  I believe that’s what your paying $178 extra for. Which is ridiculous, but it’s here. Will be a bday present for my son. They should of included a game for that price.","Overpriced, a game should have been in included for the price."
Justin Crews,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,My wife got me this for father's day. The system is cool and runs well but $500 is crazy yall out here scamming people big time.,Scam of the year
Dawn Abbott,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,4.0 out of 5 stars,"Price is higher than retail, agreed, if you want it now, great seller at a price point for today’s environment. Hated to spend the addition $$, however, they have the product and it was delivered as advertised. Thought about going with the light which Best Buy may have had  delivered on June first. Not a good choice for us.",Product as described
Nick,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,"first off this was price gouged which is kinda understandable since Switches are in low supply right now but it was advertised as coming with an sd card and uh, mine didn’t come with an sd card. Also the box was pretty beat up and looked like it had been opened...",False advertising
Armando,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,Overpriced and looks like fake reviews on May1st,Overpriced resellers
Jaden Stevens,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,screen was cracked,screen was cracked
Ramón r.,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,This switch oldest versión (2017) please buy the 2019 versión is better,Un producto caro y engañoso
